geocode,graph_emb_0,graph_emb_1,graph_emb_2,graph_emb_3,graph_emb_4,graph_emb_5,graph_emb_6,graph_emb_7,graph_emb_8,graph_emb_9,graph_emb_10,graph_emb_11,graph_emb_12,graph_emb_13,graph_emb_14,graph_emb_15
1100015,6.3303201550149185e-06,3.78462565668992e-06,2.228389212902349e-06,-6.134018914982967e-07,-2.5023361537657245e-06,-1.3141674491400725e-07,-9.789240427755341e-08,-7.244461304295983e-07,-4.975751738171893e-07,3.7057931508680166e-06,-2.191105023675433e-06,-6.012835014983199e-07,-3.0536052743002744e-07,-4.158215593006633e-06,2.8459825442248874e-06,4.025813024226359e-06
1100023,-2.7627046860487663e-07,2.198352449152907e-07,-2.2990208976853017e-07,1.1087154630693833e-07,3.0202225850275406e-07,-1.1369613027869786e-07,-2.4711589528121805e-08,2.2205664297973936e-07,1.8317341667908005e-07,-1.4156330996385918e-08,2.3778831720424058e-07,1.9511116616715703e-07,-2.0564005006417035e-08,5.369858629123923e-08,-3.4247825556321165e-08,-1.5694734223279248e-07
1100049,6.3303201550259875e-06,3.7846256567013548e-06,2.2283892128937773e-06,-6.134018915034292e-07,-2.5023361537562203e-06,-1.314167449140294e-07,-9.789240427806426e-08,-7.24446130422407e-07,-4.975751738121332e-07,3.705793150868788e-06,-2.191105023672321e-06,-6.012835014928452e-07,-3.0536052742840463e-07,-4.158215592996109e-06,2.8459825442178956e-06,4.025813024231286e-06
1100098,1.0098327741498032e-08,5.322964317127424e-09,-4.188494993248617e-09,-4.697505608985836e-09,-6.269089274328071e-08,-2.8813531127968045e-09,-2.7889665742411113e-09,-1.3453798235026038e-08,-3.3880567647541907e-08,-1.4027284464866087e-07,2.8821851204925285e-08,-2.871903792365618e-08,8.58643077539984e-09,-3.956703014769284e-08,5.6692870105965696e-08,1.9402457543401146e-07
1100106,-2.7436663219661506e-06,1.798941691116628e-06,-1.969038866796328e-06,7.515182559769822e-07,2.0741536508104858e-06,-9.814438125469848e-07,-1.6888137187386024e-07,1.7840121523129298e-06,1.8419116186689355e-06,-5.93814554247794e-07,1.327257425432147e-06,1.8716705534803122e-06,-1.0535874261852964e-07,3.9078487819467244e-07,-1.7497971837060818e-07,-1.1012131844516836e-06
1100114,-1.2791366605197328e-06,8.186869616957389e-07,-8.908316687456646e-07,3.7605847678818446e-07,9.571593203315538e-07,-5.254005003986878e-07,-8.293237285021609e-08,7.913062270812492e-07,8.995332181396133e-07,-3.060595544992008e-07,6.297943262530484e-07,8.954213193425955e-07,-7.049435913411345e-08,2.077625300168341e-07,-2.2463882743284385e-08,-5.462698183458699e-07
1100122,-4.012511062379795e-06,1.703749507283327e-06,-1.3924211221677392e-05,0.09395679736956455,-0.00884621864344939,-0.1313790803747482,0.10479425763331923,0.047375677789210285,-0.04026532757055347,0.030496496294348124,-0.017710878745396452,-0.056508612640154283,0.2920401632206576,-0.033151470107927385,0.042696316759711764,-3.1487571208873074e-05
1100130,2.871891531025956e-07,1.2146063928802357e-07,3.063300907077856e-08,-3.0203569718608176e-08,-5.2469166938935415e-09,1.0290765516800519e-09,-4.127127798138244e-09,3.87647376286898e-08,6.233151700999638e-08,2.5827578245870053e-07,2.2679768131440317e-07,5.820042749490521e-08,-4.606420605881799e-09,9.26939682256587e-08,-5.3326181861405355e-08,2.40673311264731e-07
1100148,-4.012511062379795e-06,1.703749507283327e-06,-1.3924211221677392e-05,0.09395679736956453,-0.00884621864344939,-0.13137908037474824,0.10479425763331919,0.047375677789210355,-0.040265327570553455,0.0304964962943481,-0.017710878745396452,-0.056508612640154256,0.2920401632206575,-0.033151470107927426,0.04269631675971174,-3.148757120888807e-05
1100155,2.058471155486993e-09,-9.795104736476294e-09,2.4036136824733184e-09,1.8094555339387398e-09,2.679394426765352e-08,7.28603578880772e-10,8.011055028797611e-10,7.256414674649719e-09,1.5315465666938643e-08,6.694296748571408e-08,-1.5059283094004187e-08,1.3819149628374693e-08,-2.8880772099406564e-09,1.846917712052003e-08,-2.4481361837380102e-08,-9.859076971663738e-08
1100189,-2.6826022175020485e-06,1.8437692082318396e-06,-1.848120499347987e-06,7.660629333644705e-07,1.8747002904130095e-06,-1.0513666799473044e-06,-1.9006577288728472e-07,1.5830371653259378e-06,1.8765992281771528e-06,-3.520266262150835e-07,1.2856787746597687e-06,1.8542301202648756e-06,-7.378736176809142e-08,5.781830434176497e-07,6.936040825694816e-08,-1.1226385011229903e-06
1100205,8.01670820493584e-06,-9.148607533043917e-07,3.058492606093481e-05,-0.0056656534263552875,-0.08943220939676853,-0.047278418084646515,0.30160068671250784,-0.003447249804808468,0.09511973180229757,-0.06513270251632877,0.023833333224915012,0.04011961843233135,-0.11992305069645845,0.00851657660903968,-0.17360190549692503,6.942982795996033e-05
1100254,-4.0125110623795e-06,1.7037495072898693e-06,-1.3924211221664754e-05,0.09395679736956462,-0.008846218643449352,-0.13137908037474869,0.10479425763331923,0.04737567778921034,-0.040265327570553566,0.0304964962943482,-0.01771087874539647,-0.05650861264015431,0.2920401632206576,-0.03315147010792744,0.042696316759711785,-3.14875712088671e-05
1100262,-2.7627046860687097e-07,2.1983524491662729e-07,-2.299020897678658e-07,1.1087154630626142e-07,3.020222585019834e-07,-1.1369613027862702e-07,-2.4711589528091368e-08,2.2205664297931822e-07,1.831734166781614e-07,-1.4156330997918887e-08,2.3778831720238296e-07,1.9511116616631217e-07,-2.0564005006423543e-08,5.3698586289750374e-08,-3.424782555514704e-08,-1.5694734222983006e-07
1100288,6.3303201550213416e-06,3.784625656691643e-06,2.228389212898992e-06,-6.134018915002187e-07,-2.5023361537577666e-06,-1.3141674490941755e-07,-9.789240428142198e-08,-7.244461304270519e-07,-4.975751738164534e-07,3.7057931508670162e-06,-2.1911050236675867e-06,-6.012835014977294e-07,-3.05360527427918e-07,-4.1582155930016885e-06,2.8459825442267847e-06,4.025813024223252e-06
1100296,6.330320155024966e-06,3.784625656701272e-06,2.2283892128912586e-06,-6.134018914980707e-07,-2.502336153754047e-06,-1.314167449097137e-07,-9.789240428128897e-08,-7.244461304265476e-07,-4.975751738150366e-07,3.705793150865394e-06,-2.191105023669492e-06,-6.012835014953625e-07,-3.0536052742665995e-07,-4.158215592993486e-06,2.845982544221554e-06,4.025813024226309e-06
1100320,-2.743666321964961e-06,1.7989416911101678e-06,-1.9690388668075755e-06,7.51518255980383e-07,2.0741536508179465e-06,-9.814438125468785e-07,-1.6888137187587004e-07,1.7840121523102117e-06,1.8419116186674328e-06,-5.938145542404326e-07,1.3272574254280646e-06,1.8716705534784106e-06,-1.0535874261756571e-07,3.9078487819976057e-07,-1.7497971837346353e-07,-1.1012131844420901e-06
1100338,8.016708204958017e-06,-9.148607532963578e-07,3.058492606095396e-05,-0.005665653426355291,-0.08943220939676852,-0.047278418084646605,0.3016006867125077,-0.003447249804808497,0.09511973180229752,-0.06513270251632874,0.023833333224914974,0.04011961843233128,-0.11992305069645838,0.008516576609039601,-0.17360190549692495,6.942982795994801e-05
1100403,-2.7627046860526336e-07,2.198352449152403e-07,-2.299020897683377e-07,1.1087154630689607e-07,3.0202225850218083e-07,-1.1369613027875397e-07,-2.47115895282032e-08,2.2205664297971334e-07,1.8317341667904294e-07,-1.415633099709783e-08,2.3778831720329045e-07,1.9511116616711873e-07,-2.05640050066241e-08,5.369858629051702e-08,-3.4247825555806004e-08,-1.5694734223135896e-07
1100452,-2.7627046860540116e-07,2.198352449157815e-07,-2.2990208976782755e-07,1.1087154630674948e-07,3.020222585016237e-07,-1.1369613027875669e-07,-2.4711589528277007e-08,2.2205664297945394e-07,1.831734166782692e-07,-1.4156330996311806e-08,2.3778831720359127e-07,1.9511116616643152e-07,-2.056400500660113e-08,5.3698586290208037e-08,-3.424782555544888e-08,-1.5694734223153448e-07
1100502,-1.0433390804048989e-07,7.181858595605593e-08,-7.609098586993884e-08,3.0080180527827145e-08,8.678958018473297e-08,-4.146607580968119e-08,-9.048867247840951e-09,7.335168986602543e-08,7.962810299737315e-08,-2.5294627200926074e-08,5.203915561101215e-08,8.086022760836228e-08,-5.005494163887934e-09,2.7035099766928028e-08,-1.483295727238691e-09,-5.607567965098864e-08
1100601,-2.7627046860595655e-07,2.1983524491591896e-07,-2.2990208976814445e-07,1.1087154630639962e-07,3.020222585012104e-07,-1.1369613027873759e-07,-2.4711589528169003e-08,2.2205664297963578e-07,1.8317341667858157e-07,-1.4156330998258494e-08,2.377883172028392e-07,1.9511116616672753e-07,-2.056400500657294e-08,5.3698586290746564e-08,-3.424782555585812e-08,-1.569473422298377e-07
1100809,-2.762704686058854e-07,2.1983524491580437e-07,-2.2990208976789206e-07,1.1087154630670073e-07,3.0202225850176213e-07,-1.1369613027885399e-07,-2.471158952815346e-08,2.220566429797613e-07,1.8317341667865687e-07,-1.415633099636223e-08,2.377883172036118e-07,1.9511116616680736e-07,-2.0564005006467454e-08,5.3698586290466335e-08,-3.424782555555422e-08,-1.569473422320829e-07
1100908,-1.0433390804111323e-07,7.181858595625309e-08,-7.609098586999644e-08,3.0080180527956344e-08,8.678958018455341e-08,-4.146607580964929e-08,-9.048867247875911e-09,7.335168986584371e-08,7.962810299714143e-08,-2.5294627201074762e-08,5.2039155611441003e-08,8.086022760818628e-08,-5.0054941638788155e-09,2.7035099766684678e-08,-1.4832957269419119e-09,-5.6075679650118075e-08
1100924,-2.682602217491282e-06,1.8437692082278395e-06,-1.8481204993542695e-06,7.660629333643898e-07,1.8747002904125258e-06,-1.0513666799450327e-06,-1.9006577288725835e-07,1.5830371653255456e-06,1.8765992281778893e-06,-3.5202662621131587e-07,1.2856787746597723e-06,1.8542301202654372e-06,-7.378736176728293e-08,5.781830434172529e-07,6.936040825567613e-08,-1.1226385011271336e-06
1100940,-2.762704686058124e-07,2.1983524491501477e-07,-2.2990208976908484e-07,1.1087154630654502e-07,3.0202225850218565e-07,-1.1369613027862262e-07,-2.4711589528103067e-08,2.2205664297990612e-07,1.8317341667898158e-07,-1.4156330996318858e-08,2.377883172038143e-07,1.9511116616710922e-07,-2.0564005006530892e-08,5.3698586290846415e-08,-3.424782555588849e-08,-1.5694734223225197e-07
1101104,8.016708204958342e-06,-9.14860753295064e-07,3.058492606094628e-05,-0.005665653426355291,-0.08943220939676857,-0.04727841808464662,0.30160068671250784,-0.003447249804808511,0.09511973180229757,-0.06513270251632876,0.02383333322491496,0.040119618432331354,-0.11992305069645838,0.008516576609039614,-0.17360190549692495,6.942982795997515e-05
1101203,6.33032015501771e-06,3.7846256566915254e-06,2.2283892129018325e-06,-6.134018914986319e-07,-2.502336153751504e-06,-1.314167449086439e-07,-9.789240428134233e-08,-7.244461304240586e-07,-4.975751738132248e-07,3.7057931508730175e-06,-2.1911050236743e-06,-6.01283501493959e-07,-3.053605274271394e-07,-4.158215592988535e-06,2.8459825442173424e-06,4.025813024238899e-06
1101302,-1.2791366605200432e-06,8.186869616940581e-07,-8.908316687470443e-07,3.760584767885719e-07,9.571593203335696e-07,-5.254005003980456e-07,-8.293237285024647e-08,7.913062270818664e-07,8.995332181398744e-07,-3.0605955449776405e-07,6.297943262566593e-07,8.954213193429262e-07,-7.049435913426274e-08,2.077625300173419e-07,-2.2463882745396462e-08,-5.462698183486245e-07
1101401,-2.762704686052396e-07,2.1983524491585646e-07,-2.2990208976756823e-07,1.1087154630646816e-07,3.020222585012885e-07,-1.1369613027883693e-07,-2.4711589528225662e-08,2.2205664297978933e-07,1.8317341667821676e-07,-1.4156330997650669e-08,2.3778831720331496e-07,1.951111661664586e-07,-2.056400500662318e-08,5.369858628990379e-08,-3.424782555548003e-08,-1.5694734222854959e-07
1101435,2.0584711544958083e-09,-9.795104736223992e-09,2.4036136825064242e-09,1.809455534014988e-09,2.6793944267536587e-08,7.286035789679656e-10,8.011055027993882e-10,7.256414674458165e-09,1.5315465666697943e-08,6.694296748580473e-08,-1.505928309408149e-08,1.3819149628137382e-08,-2.888077209889226e-09,1.8469177120292438e-08,-2.4481361836965807e-08,-9.859076971664172e-08
1101559,2.0584711553426018e-09,-9.795104736376741e-09,2.4036136825562524e-09,1.8094555339818082e-09,2.6793944267311287e-08,7.286035789835166e-10,8.011055028096353e-10,7.256414674201461e-09,1.531546566647315e-08,6.694296748507918e-08,-1.5059283093825026e-08,1.381914962791768e-08,-2.8880772098946126e-09,1.8469177120086923e-08,-2.4481361836858035e-08,-9.85907697142784e-08
1101708,-4.012511062379795e-06,1.703749507283327e-06,-1.3924211221677392e-05,0.09395679736956453,-0.00884621864344938,-0.1313790803747483,0.10479425763331922,0.04737567778921031,-0.04026532757055347,0.03049649629434812,-0.017710878745396452,-0.05650861264015426,0.2920401632206576,-0.03315147010792739,0.04269631675971176,-3.1487571208891654e-05
1200013,2.2778088030610786e-06,-1.5430284087485194e-06,1.6102543052694941e-06,-5.6908870091182e-07,-1.5624461216317597e-06,8.852472020265679e-07,1.7787181208788025e-07,-1.3939750630708344e-06,-1.5893060245358275e-06,3.2657175901836274e-07,-1.0936703510108976e-06,-1.5884105635561637e-06,7.499541514248948e-08,-5.415242241718867e-07,4.797422549719055e-08,1.047564759855751e-06
1200104,-4.84725835853146e-07,1.0067339850989063e-06,7.283056427265631e-08,1.0286424170937203e-09,-3.348050206078992e-07,2.1969719092557138e-09,-7.959524500883997e-09,-1.9746383941483804e-07,-2.6521776330973557e-07,6.938991490204647e-07,4.363892800966113e-07,-2.6394688778960667e-07,1.81906743558914e-08,-4.818577049704417e-07,4.7506924379838545e-07,-2.270660005945244e-07
1200203,2.788973855099339e-08,4.517178680511217e-08,6.344531552154828e-08,2.0881341386053113e-08,3.873509679363472e-07,1.7148288289056612e-08,2.316497046691371e-08,9.439133750039924e-08,2.1728020188578093e-07,1.065498232240562e-06,-1.9633269926096903e-07,1.810710782070619e-07,-4.070744424762086e-08,2.752884908436985e-07,-3.827334561161791e-07,-1.377229366041709e-06
1200302,-2.137902792707666e-06,1.4345092056915287e-06,-1.5267223121973114e-06,5.912188922712061e-07,1.5898560155245879e-06,-8.156136057108668e-07,-1.252843777019619e-07,1.4117232304164731e-06,1.5361023419258078e-06,-5.313506131865764e-07,1.0806309754194172e-06,1.5465251906414797e-06,-1.1550016540752646e-07,4.4186272949092183e-07,-7.649649829849889e-08,-8.626601045262676e-07
1200328,-1.429148041946333e-07,-3.1860741091339e-07,1.0731470833452616e-06,9.93212354179711e-07,2.516864559433428e-07,1.1127395403494388e-07,-4.677444103640689e-07,2.7049760693448247e-07,7.120750751296069e-08,-5.520302326234274e-07,-3.9955770942943825e-07,-1.9864136063917847e-07,-1.052329420239195e-07,-1.6247031644833513e-07,2.308281785533066e-07,2.0194242999386628e-07
1200336,2.788973854777211e-08,4.517178681033524e-08,6.344531551992788e-08,2.088134138165156e-08,3.873509679354442e-07,1.71482882838012e-08,2.316497047160719e-08,9.439133749956046e-08,2.1728020188854975e-07,1.0654982322411485e-06,-1.963326992626962e-07,1.810710782097507e-07,-4.070744424868795e-08,2.752884908441281e-07,-3.827334561237177e-07,-1.377229366042458e-06
1200344,-4.847258358668969e-07,1.0067339851112605e-06,7.283056427214911e-08,1.0286424163122472e-09,-3.3480502061102146e-07,2.1969719091311334e-09,-7.959524500938349e-09,-1.9746383941739012e-07,-2.652177633124734e-07,6.93899149023711e-07,4.3638928009509145e-07,-2.6394688779239754e-07,1.8190674356478252e-08,-4.818577049724452e-07,4.7506924380089e-07,-2.270660005871354e-07
1200351,-1.4291480419712835e-07,-3.1860741091051727e-07,1.0731470833459115e-06,9.932123541578181e-07,2.5168645592552437e-07,1.112739540225135e-07,-4.677444103511414e-07,2.704976069274342e-07,7.120750752259853e-08,-5.520302326228007e-07,-3.995577094367277e-07,-1.9864136063267648e-07,-1.0523294202573699e-07,-1.6247031644331873e-07,2.30828178552492e-07,2.0194242999314962e-07
1200385,2.2778088030641834e-06,-1.5430284087476898e-06,1.6102543052620074e-06,-5.690887009132763e-07,-1.562446121632993e-06,8.852472020264834e-07,1.7787181208745917e-07,-1.3939750630716742e-06,-1.5893060245341136e-06,3.2657175902051484e-07,-1.093670351009389e-06,-1.588410563554944e-06,7.499541514197025e-08,-5.41524224167893e-07,4.797422549315232e-08,1.0475647598586774e-06
