capital,temporada,surto,WIS,WIS_esc,cob95,erro_pico,tot_prev_obs,pico_obs_EW,pico_prev_EW
Rio Branco-AC,2022-2023,True,26.1,0.34,0.85,-1,0.23,16,15
Rio Branco-AC,2023-2024,True,224.6,0.68,0.6,17,0.06,50,15
Rio Branco-AC,2024-2025,True,547.5,0.73,0.33,9,0.02,6,15
Rio Branco-AC,2025-2026,True,103.1,0.6,0.38,2,0.04,51,53
Maceio-AL,2022-2023,True,138.4,0.4,0.79,-9,0.09,24,15
Maceio-AL,2023-2024,True,1032.2,0.75,0.37,-13,0.03,28,15
Maceio-AL,2024-2025,True,380.7,0.66,0.63,-17,0.06,32,15
Maceio-AL,2025-2026,True,206.1,0.55,0.62,12,0.04,41,53
Macapa-AP,2022-2023,True,23.5,0.47,0.71,11,0.16,4,15
Macapa-AP,2023-2024,True,905.9,0.96,0.15,1,0.01,14,15
Macapa-AP,2024-2025,True,108.9,0.71,0.12,26,0.07,41,15
Macapa-AP,2025-2026,True,9.6,0.48,0.85,12,0.31,41,53
Manaus-AM,2022-2023,True,70.1,0.41,0.87,-4,0.1,19,15
Manaus-AM,2023-2024,True,365.0,0.65,0.69,12,0.04,3,15
Manaus-AM,2024-2025,True,80.4,0.38,0.88,-4,0.08,19,15
Manaus-AM,2025-2026,True,58.2,0.35,1.0,0,0.06,53,53
Salvador-BA,2022-2023,True,1883.3,0.88,0.17,-7,0.02,22,15
Salvador-BA,2023-2024,True,1703.7,0.86,0.06,6,0.02,9,15
Salvador-BA,2024-2025,True,400.2,0.59,0.31,-2,0.06,17,15
Salvador-BA,2025-2026,True,311.5,0.67,0.15,11,0.06,42,53
Fortaleza-CE,2022-2023,True,379.3,0.37,0.88,5,0.09,10,15
Fortaleza-CE,2023-2024,True,225.2,0.36,0.96,0,0.18,15,15
Fortaleza-CE,2024-2025,True,142.7,0.95,1.0,20,0.75,47,15
Fortaleza-CE,2025-2026,True,66.7,0.62,1.0,3,0.41,50,53
Brasilia-DF,2022-2023,True,3667.4,0.66,0.21,0,0.01,15,15
Brasilia-DF,2023-2024,True,24419.0,0.93,0.19,10,0.0,5,15
Brasilia-DF,2024-2025,True,896.8,0.46,0.77,4,0.03,11,15
Brasilia-DF,2025-2026,True,562.8,0.46,0.69,3,0.02,50,53
Vitoria-ES,2023-2024,True,2345.6,0.73,0.37,4,0.01,11,15
Vitoria-ES,2024-2025,True,401.3,0.71,0.58,17,0.08,50,15
Vitoria-ES,2025-2026,False,25.0,14.13,0.31,1,9.42,52,53
Goiania-GO,2022-2023,True,1404.4,0.39,0.87,3,0.08,12,15
Goiania-GO,2023-2024,True,5224.2,0.45,0.83,0,0.02,15,15
Goiania-GO,2024-2025,True,2880.7,0.39,0.87,-4,0.04,19,15
Goiania-GO,2025-2026,True,1029.3,0.37,1.0,0,0.04,53,53
Sao Luis-MA,2022-2023,True,193.6,0.64,0.31,4,0.06,11,15
Sao Luis-MA,2023-2024,True,209.6,0.67,0.29,3,0.05,12,15
Sao Luis-MA,2024-2025,True,172.9,0.63,0.4,-8,0.06,23,15
Sao Luis-MA,2025-2026,True,161.5,0.73,0.0,12,0.04,41,53
Cuiaba-MT,2022-2023,True,32.5,0.26,0.9,-4,0.31,19,15
Cuiaba-MT,2023-2024,True,290.8,0.66,0.33,-3,0.06,18,15
Cuiaba-MT,2024-2025,True,207.7,0.72,0.63,12,0.11,3,15
Cuiaba-MT,2025-2026,True,40.1,0.49,0.69,11,0.12,42,53
Campo Grande-MS,2022-2023,True,464.6,0.42,0.9,0,0.03,15,15
Campo Grande-MS,2023-2024,True,86.2,0.56,0.9,8,0.19,7,15
Campo Grande-MS,2024-2025,True,70.1,0.57,0.96,3,0.25,12,15
Campo Grande-MS,2025-2026,True,20.3,1.52,0.77,12,0.88,41,53
Belo Horizonte-MG,2022-2023,True,1719.8,0.49,0.87,0,0.02,15,15
Belo Horizonte-MG,2023-2024,True,21805.0,0.91,0.33,6,0.0,9,15
Belo Horizonte-MG,2024-2025,True,374.4,0.41,0.92,9,0.05,6,15
Belo Horizonte-MG,2025-2026,True,250.4,0.36,1.0,0,0.04,53,53
Belem-PA,2022-2023,True,32.6,0.44,0.71,12,0.12,3,15
Belem-PA,2023-2024,True,479.6,0.89,0.15,5,0.02,10,15
