name,WIS_esc,WIS,cob95,erro_pico_abs,surtos,temporadas
Boa Vista-RR,0.387,7.805,0.795,7.333,3,3
Goiania-GO,0.402,2634.67,0.889,1.75,4,4
Palmas-TO,0.403,48.044,0.865,4.75,4,4
Manaus-AM,0.447,143.43,0.861,5.0,4,4
Aracaju-SE,0.517,90.35,0.538,11.5,4,4
Cuiaba-MT,0.53,142.779,0.639,7.5,4,4
Belo Horizonte-MG,0.544,6037.419,0.779,3.75,4,4
Rio de Janeiro-RJ,0.56,3040.844,0.63,4.75,4,4
Natal-RN,0.566,498.206,0.505,7.25,4,4
Fortaleza-CE,0.575,203.481,0.962,7.0,4,4
Rio Branco-AC,0.587,225.291,0.538,7.25,4,4
Maceio-AL,0.59,439.353,0.601,12.75,4,4
Brasilia-DF,0.628,7386.507,0.466,4.25,4,4
Porto Velho-RO,0.635,32.951,0.298,5.75,4,4
Macapa-AP,0.656,261.948,0.457,12.5,4,4
Recife-PE,0.658,682.881,0.327,9.75,4,4
Curitiba-PR,0.667,866.241,0.38,2.25,4,4
Sao Luis-MA,0.667,184.405,0.25,6.75,4,4
Belem-PA,0.68,183.778,0.279,6.25,4,4
Porto Alegre-RS,0.715,1630.219,0.37,3.5,4,4
Teresina-PI,0.716,579.653,0.115,5.5,4,4
Salvador-BA,0.752,1074.676,0.173,6.5,4,4
Joao Pessoa-PB,0.76,679.079,0.014,4.0,4,4
Campo Grande-MS,0.769,160.308,0.885,5.75,4,4
Sao Paulo-SP,0.875,17279.607,0.101,3.5,4,4
Florianopolis-SC,0.883,2884.777,0.048,1.75,4,4
Vitoria-ES,5.189,923.944,0.417,7.333,2,3
