name,season,total_obs,nrmse,rmse,mse,wape,smape,mase,nse,pearson,total_ratio,peak_week_err,xcorr_lag,cov_95,calib_err
3515509,2022-2023,1054.0,0.5276,10.6933,114.3457,0.3633,99.7458,0.7222,0.7759,0.8956,0.9491,3.0,0.0,0.6923,0.1673
5213103,2022-2023,1421.0,0.5792,15.827,250.4925,0.4506,77.0712,0.9075,0.3798,0.7739,0.6558,-5.0,0.0,0.9038,0.0712
3501608,2022-2023,3375.0,0.6092,39.5411,1563.4955,0.3836,100.497,1.2268,0.8048,0.9241,0.7736,0.0,-1.0,0.7308,0.1337
3169406,2024-2025,1484.0,0.6802,19.4126,376.8503,0.3901,130.4691,1.2082,0.7793,0.9548,0.629,2.0,1.0,0.5192,0.3019
3526902,2022-2023,2783.0,0.6947,37.1808,1382.4083,0.4151,99.7501,1.1398,0.6706,0.8855,0.6521,1.0,0.0,0.7692,0.1048
3138203,2024-2025,2409.0,0.7035,32.5899,1062.1034,0.5123,126.4763,1.235,0.5124,0.8238,0.6059,1.0,-1.0,0.5577,0.2731
5107909,2022-2023,2290.0,0.7037,30.9912,960.4539,0.5179,75.7199,1.2181,0.1011,0.5908,0.6353,-5.0,-3.0,0.8846,0.0615
3303302,2024-2025,1603.0,0.7059,21.7594,473.4719,0.5292,86.9481,1.2568,-0.1568,0.5673,0.5909,4.0,5.0,0.9615,0.0923
4202404,2024-2025,2664.0,0.7193,36.8503,1357.9428,0.5228,102.8057,1.3966,0.5966,0.8896,1.1165,-2.0,-1.0,0.8846,0.0942
3138401,2024-2025,1005.0,0.727,14.0509,197.4291,0.4742,125.5014,0.9201,0.6495,0.8751,0.6296,2.0,1.0,0.5577,0.2779
3530102,2023-2024,1677.0,0.7442,24.0015,576.0736,0.6434,117.4583,1.2149,-0.7804,0.559,0.4657,-2.0,0.0,0.5577,0.2971
3516705,2022-2023,2163.0,0.7499,31.1932,973.0171,0.4845,104.7393,1.1459,0.5219,0.8262,0.5846,-4.0,-2.0,0.75,0.1385
4204202,2022-2023,1314.0,0.7666,19.3722,375.2808,0.4623,115.832,0.9456,0.6816,0.8984,0.6226,-1.0,0.0,0.75,0.1288
5201108,2022-2023,10742.0,0.7733,159.7527,25520.9408,0.6487,109.033,2.1396,-0.4546,0.8316,0.3513,0.0,1.0,0.9038,0.0529
3500105,2023-2024,1429.0,0.7819,21.4881,461.7394,0.6306,111.9318,1.1361,-0.147,0.6161,0.6582,5.0,1.0,0.6923,0.1865
3503208,2022-2023,4761.0,0.7894,72.2761,5223.8321,0.5418,98.0364,1.8851,0.4222,0.9365,0.461,0.0,0.0,0.9423,0.0769
3304904,2024-2025,2348.0,0.8045,36.3261,1319.5834,0.5827,106.8813,1.221,-0.0921,0.609,0.4798,5.0,0.0,0.9423,0.0481
5107925,2022-2023,1335.0,0.8156,20.9395,438.461,0.6103,107.1885,1.1208,-0.1254,0.5198,0.5395,1.0,-2.0,0.9038,0.0567
4105508,2022-2023,1941.0,0.8217,30.6725,940.8035,0.3897,120.6449,0.7196,0.7381,0.9027,0.7206,-1.0,0.0,0.5769,0.2635
