name,season,total_obs,nrmse,rmse,mse,wape,smape,mase,nse,pearson,total_ratio,peak_week_err,xcorr_lag,cov_95,calib_err
3548401,2022-2023,1339.0,2.2138,57.0062,3249.7052,0.9414,188.1497,1.6309,-0.0784,0.8861,0.0904,0.0,0.0,0.0192,0.7827
4123303,2024-2025,5576.0,2.2151,237.5237,56417.4913,0.9575,179.4142,2.2552,-0.1679,0.8015,0.0446,1.0,2.0,0.1731,0.6817
3536307,2023-2024,1105.0,2.2166,47.1027,2218.6627,0.8565,161.0855,1.4875,-0.0511,0.2832,0.2508,6.0,6.0,0.2308,0.5904
3121258,2022-2023,1178.0,2.219,50.2678,2526.8527,0.913,170.6141,1.6379,-0.0015,0.7794,0.1609,-1.0,1.0,0.1538,0.6577
3205101,2024-2025,13218.0,2.2231,565.0877,319324.1148,1.0319,180.7746,2.9675,-0.2332,-0.2931,0.0832,16.0,12.0,0.1923,0.6577
3163409,2023-2024,3631.0,2.2288,155.6328,24221.5639,0.9605,180.0148,1.5591,-0.2205,0.0282,0.0519,11.0,11.0,0.1154,0.7058
3169000,2024-2025,1320.0,2.2315,56.6446,3208.6126,0.9579,175.1216,1.4869,-0.0981,0.2024,0.2142,7.0,7.0,0.1923,0.6577
3106309,2023-2024,21567.0,2.2329,926.0773,857619.0805,0.9858,184.8861,2.8102,-0.2417,0.016,0.0144,10.0,9.0,0.2308,0.6337
2904001,2023-2024,3581.0,2.2339,153.8362,23665.5809,0.9488,192.2754,2.1724,-0.1124,0.9291,0.0529,1.0,0.0,0.0,0.7875
3203700,2024-2025,2152.0,2.2361,92.5389,8563.4477,1.1075,195.6641,1.998,-0.2275,-0.1763,0.1507,15.0,12.0,0.0192,0.7779
4305009,2023-2024,2613.0,2.2445,112.7873,12720.9664,0.9488,184.095,2.4217,-0.1369,0.7925,0.0528,-4.0,-2.0,0.0962,0.725
3123700,2023-2024,4570.0,2.2448,197.2856,38921.5883,0.9699,175.8809,1.9442,-0.2138,0.1118,0.0424,8.0,7.0,0.1538,0.6721
3127800,2023-2024,1988.0,2.2454,85.8415,7368.7603,0.952,191.5149,2.5219,-0.1082,0.5358,0.086,3.0,4.0,0.0385,0.7683
4313904,2023-2024,3606.0,2.2515,156.1333,24377.6085,0.9614,188.1142,2.545,-0.1585,0.8031,0.0396,-4.0,-2.0,0.0769,0.749
5101407,2023-2024,1556.0,2.254,67.4456,4548.9149,0.9328,173.2645,0.9522,-0.1442,0.4637,0.0931,7.0,5.0,0.1346,0.7058
4317509,2023-2024,14331.0,2.258,622.2983,387255.1387,0.9741,186.5007,2.1823,-0.1812,0.8856,0.0263,0.0,-1.0,0.1923,0.6673
4125308,2024-2025,2685.0,2.2625,116.8252,13648.1246,0.9007,175.8819,1.853,-0.0487,0.7115,0.1037,1.0,3.0,0.2692,0.6144
3171907,2023-2024,4762.0,2.2642,207.3462,42992.4292,0.9782,189.2682,2.5102,-0.1871,0.8658,0.0232,0.0,2.0,0.0962,0.7298
3552551,2023-2024,1207.0,2.265,52.5751,2764.1414,0.9521,173.1092,1.8722,-0.0998,0.3631,0.1404,-4.0,-5.0,0.1346,0.6721
5209903,2023-2024,7781.0,2.2779,340.8452,116175.4721,0.983,181.5489,2.5673,-0.2061,0.4331,0.0276,4.0,6.0,0.1538,0.6721
3106002,2023-2024,5136.0,2.2782,225.0133,50630.9936,0.9667,181.8692,2.1623,-0.2053,0.1969,0.0336,6.0,7.0,0.1731,0.6481
4100202,2024-2025,2315.0,2.2838,101.6718,10337.1566,0.9543,187.1008,2.5196,-0.146,0.6132,0.0476,4.0,3.0,0.0192,0.7683
